creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Runham Brown, H.																														" 7. Brochure: """"Les Catholiques en face de la guerre. Consultation Internationale""""."	French		7	Brochure Les Catholiques en face de la guerre Consultation Internationale Runham Brown H	War Resisters' International.4	8.pdf	2021-05-26	1929		W08-2-54-001.pdf	2021-05-26
Schucking, Prof. Walter																														"1. Pamflet: """"A New Way Toward Disarmament""""."	English		15	Pamflet A New Way Toward Disarmament Schucking Prof Walter	War Resister's League.	16.pdf	2021-05-26			W10-54-002.pdf	2021-05-26
Peckover, P.H.	http://viaf.org/viaf/309892408	Brown, J.L.																												"2. Brochure: """"Wisbech Local Peace Association. Twenty-third Report, March, 1902""""."	English		23	Brochure Wisbech Local Peace Association Twenty-third Report March 1902 Peckover P H Brown J L	Wereldvrede en Vooruitgang.	24.pdf	2021-05-26	Maart, 1902		W19-55-001.pdf	2021-05-26
Loohuis, Dr. J.G. (redactie)		Vries, Mr. W. de (redactie)		Bautz, Th. M. (redactie)		Albarda, Mr. J. (redactie)																								"1. Krant: """"De Trom. Officieel orgaan van het Nationaal Jongeren Verbond"""". 7e jaargang, No.9 - 1 juni 1934."""""	Dutch		31	Krant De Trom Officieel orgaan van het Nationaal Jongeren Verbond 7e jaargang No 9 - 1 juni 193 Loohuis Dr J G (redactie) Vries Mr W de (redactie) Bautz Th M (redactie) Albarda Mr J (redactie)	Vredeskamer, Stichting De.1	32.pdf	2021-05-26	1 juni 1934		V25-1-53-006.pdf	2021-05-26
Warmelo, W.L. van	http://viaf.org/viaf/281446332																													2. Circulaires en propagandamateriaal.	Dutch		39	Circulaires en propagandamateriaal Warmelo W L van	Vredes Studie Bureau.	40.pdf	2021-05-26	1928-1929		V30-53-002.pdf	2021-05-26
Mulder, W.		Hugenholtz, Ds. J.B.Th.																												"3. Brief van W. Mulder, Amsterdam, d.d. 14 februari 1931, gericht aan Ds. J.B. Th. Hugenholtz, Ammerstol, i.v.m. artikel in """"Het Volk"""" van 2 september 1930."""""	Dutch		47	Brief van W Mulder Amsterdam d d 14 februari 1931 gericht aan Ds J B Th Hugenholtz Ammerstol i v m artikel in Het Volk van 2 september 1930 Mulder W Hugenholtz Ds J B Th	Nederlandsche Arbeiders Vredeswacht.	48.pdf	2021-05-26	14 februari 1931		V32-53-003.pdf	2021-05-26
Warmelo, W.L. van	http://viaf.org/viaf/281446332																													"5. Brochure: """"Maskers Af""""."	Dutch		55	Brochure Maskers Af Warmelo W L van	Warmelo, W.L. van.1	56.pdf	2021-05-26	Blaricum, augustus 1935		W06-54-001.pdf	2021-05-26
Floyd, William																														" 4. Brochure: """"War Resistance""""."	English		63	Brochure War Resistance Floyd William	War Resisters' International.1	64.pdf	2021-05-26			W08-1-54-004.pdf	2021-05-26
Dyen- Van Gemerde, A.G. van																														"20. Toneelstuk: """"Hoe Wim z'n verjaardag aanleiding was tot een vredesdaad""""."	Dutch		71	20 Toneelstuk Hoe Wim z n verjaardag aanleiding was tot een vredesdaad Dyen- Van Gemerde A G van	Théatre et Musique.4	72.pdf	2021-05-27			T06-50-020.pdf	2021-05-27
																												Theatre play;	"Het tooneel is een open ruimte, waarop een troon, waarop men
door middel van eenige treden komt.—
Personen: De Vredesvorstin,verder aangeduid door: d. V.
De Vader
De Moeder
De dochter
Het Kind
De jonge man
De twijfelaar
De Herauten
De woordvo erder der Heraut en
Een menigte volks.
"	"24. Toneelstuk: ""De Kroning van den vrede""."	Dutch	SPIDO mej. H.C.C. de Jager, Amersfoort	79	Toneelstuk De Kroning van den vrede	Théatre et Musique.5	80.pdf	2021-07-13			T06-50-024.pdf	2021-05-27
Les leaders des partis politiques du Tyrol du Sud.																														"8. Brochure: """"La Situation dans le Tyrol Méridional de 1918 à  1927. Mémoire rédigé par les leaders des partis politiques du Tyrol du Sud""""."	French		87	Brochure La Situation dans le Tyrol Méridional de 1918 à  192 Mémoire rédigé par les leaders des partis politiques du Tyrol du Sud Les leaders des partis politiques du Tyrol du Sud	Tyrol Méridional.2	88.pdf	2021-05-27	1927 (?)		T12-50-004.pdf	2021-05-27
Hugenholtz, Ds. J.B.Th.																														"Letter by the Union Européenne for Ds. J.B.Th. Hugenholtz, inviting him for a conference and the """"jour de paix universel"""". 20 September 1928"	French		95	Letter by the Union Européenne for Ds J B Th Hugenholtz inviting him for a conference and the jour de paix universel 20 September 1928 Hugenholtz Ds J B Th	Union Européenne	96.pdf	2021-05-27	1928		U10-51-001.pdf	2021-05-27
Meulen, Dr. Jacob ter																														"3. Lidmaatschapskaart van Verband für Internationale Verständigung op naam van """"Herrn Dr. Jacob ter Meulen""""."	German		103	Lidmaatschapskaart van Verband für Internationale Verständigung op naam van Herrn Dr Jacob ter Meulen Meulen Dr Jacob ter	Verband für Internationale Verständigung.	104.pdf	2021-05-27			V04-52-003.pdf	2021-05-27
Mandere, H. Ch. G. J. van der																														6. Jaarverslag over het vijfde en zesde verslagjaar van de Vereeniging voor Volkenbond en Vrede. (1925/1926).	Dutch		111	Jaarverslag over het vijfde en zesde verslagjaar van de Vereeniging voor Volkenbond en Vrede (1925/1926) Mandere H Ch G J van der	Volkenbond en Vrede.2	112.pdf	2021-05-27	15-Sep-26		V10-1-52-006.pdf	2021-05-27
																														4. Folders en circulaires.	French		119	Folders en circulaires	Victimes de la Guerre. (Oorlogsslachtoffers.)	120.pdf	2021-05-27			V12-52-004.pdf	2021-05-27
Oord-Zandstra, M. van den																														"16. Poppenkastvoorstelling: """"Jan Klaassen in Geluksland""""."	Dutch		127	Poppenkastvoorstelling Jan Klaassen in Geluksland Oord-Zandstra M van den	Théatre et Musique.4	128.pdf	2021-05-27			T06-50-016.pdf	2021-05-27
Union Internationale des Associations par la Société des Nations.																														"4. Brochure: """"XII-ième Congrès de l' Union Internationale des Association par la Société des Nations, La Haye 30 juin-7 juillet 1928""""."	French		135	Brochure XII-ième Congrès de l Union Internationale des Association par la Société des Nations La Haye 30 juin-7 juillet 1928 Union Internationale des Associations par la Société des Nations	Union Internationale des Associations par la Société des Nations.1	136.pdf	2021-05-27	1928		U12-51-001.pdf	2021-05-27
l'Agence Rémoise de Publicité, Reims																														" 2. Brochure: """"Pax. Première Journée de la Paix. Reims. 22 juillet 1928"""""	French		143	Brochure Pax Première Journée de la Paix Reims 22 juillet 1928 l Agence Rémoise de Publicité Reims	"Union Universelle.1 """"Pour supprimer ce crime : la guerre""""."	144.pdf	2021-05-27	22 juli 1928		U20-51-001.pdf	2021-05-27
Viruly, A.																														" 4. Pamflet: """"Antwoord van A. Viruly op de sympathiebetuigingen, ontvangen naar aanleiding van zijn ontslagaanvrage als reserve-officiervlieger"""".(2x)"""""	Dutch		151	Pamflet Antwoord van A Viruly op de sympathiebetuigingen ontvangen naar aanleiding van zijn ontslagaanvrage als reserve-officiervlieger (2x) Viruly A	Viruly, A.	152.pdf	2021-05-27	Schiphol, Pinksteren 1936		V14-52-003.pdf	2021-05-27
Kolthek, H.																														"1. S.P. Vlugschriftje No.2. """"De Geestelijke Burgerwacht""""."	Dutch		159	S P Vlugschriftje No De Geestelijke Burgerwacht Kolthek H	Socialisme.1	160.pdf	2021-06-02			S22-48-003.pdf	2021-06-02
